2011-10-24 16:07:35 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:07:35 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:07:48 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:07:48 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:07:48 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:07:51 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:07:51 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:07:51 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:08:16 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:08:16 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:08:16 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:15:36 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:15:36 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:15:36 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:15:39 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:15:39 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:15:39 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:15:41 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:15:41 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:15:41 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:17:48 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:17:48 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:17:48 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:18:26 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:18:26 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:18:26 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:18:36 Notice: Notice (8): Undefined variable: min in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:18:36 Notice: Notice (8): Undefined variable: max in [/Volumes/external/Data/Programing/PHP/www/cakephp_muster/cake/libs/validation.php, line 178]
2011-10-24 16:18:36 Notice: Notice (8): Undefined variable: status in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/views/users/register.ctp, line 1]
2011-10-24 16:22:17 Notice: Notice (8): Undefined index:  verifystring in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 57]
2011-10-24 16:30:55 Notice: Notice (8): Undefined index:  verifystring in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 57]
2011-10-24 16:31:12 Notice: Notice (8): Undefined index:  verifystring in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 57]
2011-10-24 16:32:33 Notice: Notice (8): Undefined index:  verifystring in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 57]
2011-10-24 16:36:26 Notice: Notice (8): Undefined index:  verifystring in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 56]
2011-10-24 16:37:35 Notice: Notice (8): Undefined index:  verifystring in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 56]
2011-10-24 16:45:20 Notice: Notice (8): Undefined index:  verifystring in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 56]
2011-10-24 16:46:07 Notice: Notice (8): Undefined index:  verifystring in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 56]
2011-10-24 17:32:37 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-24 17:32:37 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:20:44 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:20:44 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:20:47 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:20:47 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:21:35 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:21:35 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:21:39 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:21:39 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:22:03 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:22:03 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:22:06 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:22:06 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:22:33 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:22:33 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:23:07 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:23:07 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:23:23 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:23:23 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:31:17 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
2011-10-26 17:31:17 Notice: Notice (8): Undefined variable: isAlreadyRegistred in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 110]
2011-10-26 17:37:37 Notice: Notice (8): Undefined index:  hash in [/Volumes/external/Data/Programing/PHP/www/live_teacher_server/website/api/controllers/users_controller.php, line 103]
